City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
110,Zernograd,RU,73.99,46.85,40.31,Gostinitsa Lyuks
112,Cidreira,BR,73.74,-30.18,-50.21,Novomar Pousada e Turismo Ltda
113,Lata,PT,69.01,40.16,-8.33,Casa Maquia
116,Kahului,US,78.8,20.89,-156.47,Maui Seaside Hotel
118,Hilo,US,73.4,19.73,-155.09,Hilo Hawaiian Hotel
119,Ulaangom,MN,64.67,49.98,92.07,Achit Nuur Hotel & Restaurant
123,San Cristobal,VE,87.8,7.77,-72.22,Pirineos
124,Norrtalje,SE,66.0,59.76,18.7,Norrtälje Vandrarhem Hvilan
128,Butaritari,KI,82.98,3.07,172.79,Isles Sunset Lodge
129,Misratah,LY,85.17,32.38,15.09,فندق الماسة
131,Xichang,CN,68.04,27.9,102.26,Xichang ibis Hotel
132,Sao Borja,BR,78.21,-28.66,-56.0,Hotel Executivo
133,Hatillo,PR,87.01,18.49,-66.83,Hotel Parador El Buen Cafe
134,Vajszlo,HU,73.4,45.86,17.98,Lázár Vendégház
135,Bandarbeyla,SO,81.5,9.49,50.81,REER XOOSHLE GROUP
136,Mareeba,AU,70.0,-17.0,145.43,Trinity Plains Tourist Park
137,Denpasar,ID,82.4,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
138,Cascais,PT,70.0,38.7,-9.42,Hotel Vila Galé Cascais
141,Balsta,SE,73.0,59.57,17.53,Aronsborgs Conference Hotel
145,Skibbereen,IE,60.8,51.55,-9.27,The West Cork Hotel
148,Boa Vista,BR,82.4,2.82,-60.67,Aipana Plaza Hotel
150,Cam Ranh,VN,86.0,11.92,109.16,OYO 598 Peony Hotel
151,Porto Belo,BR,77.0,-27.16,-48.55,Costa Verde Beach Hotel
152,West Plains,US,82.4,36.73,-91.85,West Plains Motel
153,Callaway,US,89.01,30.15,-85.57,Holiday Inn Express & Suites Panama City-Tyndall
158,Miracema Do Tocantins,BR,89.01,-9.56,-48.4,Miami Apart Hotel
161,Namibe,AO,73.04,-15.2,12.15,Hotel Chik Chik Namibe
162,Tucuman,AR,69.8,-26.82,-65.22,Dallas Hotel Tucuman
163,Malinyi,TZ,71.74,-8.93,36.13,
164,Vila Franca Do Campo,PT,66.2,37.72,-25.43,Pestana Bahia Praia
170,Yokadouma,CM,72.36,3.52,15.05,Hôtel De Ville De Yokadouma
172,Port Moresby,PG,77.0,-9.44,147.18,Lamana Hotel
174,Torbay,CA,69.01,47.67,-52.73,Gallows Cove
175,Iberia,US,86.0,29.95,-91.75,back to back rv park
176,Roanoke Rapids,US,80.01,36.46,-77.65,Hampton Inn Roanoke Rapids
179,Mattawa,US,77.0,46.74,-119.9,Sun & Sand Mobile Home Park
